"Letter","Definition"
"a",": the 1st letter of the English alphabet : a graphic representation of this letter : a speech counterpart of orthographic a : the sixth tone of a C-major scale : a graphic device for reproducing the letter a : one designated a especially as the first in order or class : a grade rating a student's work as superior in quality : one graded or rated with an A : something shaped like the letter A : the one of the four ABO blood groups characterized by the presence of antigens designated by the letter A and by the presence of antibodies against the antigens present in the B blood group"
"aa",": basaltic lava having a rough, broken surface compare PAHOEHOE"
"ab",": an abdominal muscle"
"aba",": a loose sleeveless outer garment worn as traditional dress by men in the Middle East : a fabric woven from the hair of camels or goats"
"aback",": BACKWARD, BACK : in a position to catch the wind upon the forward surface (as of a sail) : by surprise : UNAWARES"
"abandon",": to give up to the control or influence of another person or agent : to give up with the intent of never again claiming a right or interest in : to withdraw from often in the face of danger or encroachment : to withdraw protection, support, or help from : to give (oneself) over unrestrainedly : to cease from maintaining, practicing, or using : to cease intending or attempting to perform"
"abandoned",": left without needed protection, care, or support : left by the owner : left to fall into a state of disuse : no longer held or thought of : given up : wholly free from restraint"
"abandoning",": to give up to the control or influence of another person or agent : to give up with the intent of never again claiming a right or interest in : to withdraw from often in the face of danger or encroachment : to withdraw protection, support, or help from : to give (oneself) over unrestrainedly : to cease from maintaining, practicing, or using : to cease intending or attempting to perform"
"abandonment",": the act of abandoning something or someone : the state of being abandoned"
"abase",": to lower in rank, office, prestige, or esteem : to lower physically"
"abate",": to decrease in force or intensity : to become defeated or become null or void (as of a writ or appeal) : to decrease in amount or value"
"abba",": FATHER"
"abbas","Mahmoud 1935–     president of the Palestinian National Authority (2005–  )"
"abbey",": a monastery ruled by an abbot : a convent ruled by an abbess : an abbey church"
"abbot",": the superior of a monastery for men"
"abbreviated",": made shorter or briefer : relatively short or small : shorter or smaller than is normal or conventional"
"abbreviation",": a shortened form of a written word or phrase used in place of the whole word or phrase : the act or result of abbreviating something : ABRIDGMENT"
"abbreviations",": a shortened form of a written word or phrase used in place of the whole word or phrase : the act or result of abbreviating something : ABRIDGMENT"
"abdomen",": the part of the body between the thorax (see THORAX sense 1) and the pelvis with the exception of the back : the cavity of the abdomen that is lined by peritoneum, is bounded above by the diaphragm, anteriorly by a wall of muscle and tissue, and posteriorly by the spinal column, is continuous below with the pelvic cavity, and contains many of the visceral organs and especially those involved in digestion (such as the stomach, liver, pancreas, kidneys, and intestines) : ABDOMINAL CAVITY : the posterior section of the body behind the thorax (see THORAX sense 2) in an arthropod see insect illustration"
"abdominal",": of, relating to, or involving the abdomen see also ABDOMINAL CAVITY"
"abducted",": to seize and take away (a person) by force : to draw or spread away (a part of the body, such as a limb or the fingers) from a position near or parallel to the median axis of the body or from the axis of a limb"
"abduction",": the action of abducting : the condition of being abducted : the unlawful carrying away of a woman for marriage or sexual intercourse"
"abhor",": to regard with extreme repugnance : to feel hatred or loathing for : LOATHE"
"abide",": to bear patiently : TOLERATE : to endure without yielding : WITHSTAND : to wait for : AWAIT : to accept without objection"
"abiding",": continuing for a long time : ENDURING"
"abigail",": a lady's personal maid"
"abilities",": the quality or state of being able : physical, mental, or legal power to do something : competence in doing something : SKILL : a person's status with regard to having a disability : natural aptitude or acquired proficiency"
"ability",": the quality or state of being able : physical, mental, or legal power to do something : competence in doing something : SKILL : a person's status with regard to having a disability : natural aptitude or acquired proficiency"
"able",": having sufficient power, skill, or resources to do something : having the freedom or opportunity to do something : having a quality or nature that makes something possible : susceptible to some action or treatment : marked by intelligence, knowledge, skill, or competence"
"abled",": capable of unimpaired function"
"abnormal",": deviating from the normal or average : unusual in an unwelcome or problematic way"
"abnormalities",": something abnormal : the quality or state of being abnormal"
"abnormally",": deviating from the normal or average : unusual in an unwelcome or problematic way"
"aboard",": ALONGSIDE : on, onto, or within a vehicle (such as a car or ship) : in or into a group, association, or organization : on base"
"abode",": the place where one lives : HOME : a temporary stay : SOJOURN : WAIT, DELAY"
"abolish",": to end the observance or effect of (something, such as a law) : to completely do away with (something) : ANNUL"
"abolished",": to end the observance or effect of (something, such as a law) : to completely do away with (something) : ANNUL"
"abolishing",": to end the observance or effect of (something, such as a law) : to completely do away with (something) : ANNUL"
"abolition",": the act of officially ending or stopping something : the act of abolishing something : the act of officially ending slavery"
"abomination",": something regarded with disgust or hatred : something abominable : extreme disgust and hatred : LOATHING"
"aboriginal",": being the first or earliest known of its kind present in a region : of or relating to the people who have been in a region from the earliest time : of or relating to aborigines : of or relating to the indigenous peoples of Australia"
"abort",": to bring forth stillborn, nonviable, or premature offspring : to become checked in development so as to degenerate or remain rudimentary : to terminate a procedure prematurely"
"aborted",": stopped before completion especially because of problems or danger : failing to achieve the desired result : ending without success : ABORTIVE"
"abortion",": the termination of a pregnancy after, accompanied by, resulting in, or closely followed by the death of the embryo or fetus: such as : spontaneous expulsion of a human fetus during the first 12 weeks of gestation
compare MISCARRIAGE : induced expulsion of a human fetus : expulsion of a fetus by a domestic animal often due to infection at any time before completion of pregnancy
compare CONTAGIOUS ABORTION : a misshapen thing or person : MONSTROSITY : something regarded as horrifically or disgustingly bad : arrest of development (as of a part or process) resulting in imperfection : a result of such arrest"
"abortions",": the termination of a pregnancy after, accompanied by, resulting in, or closely followed by the death of the embryo or fetus: such as : spontaneous expulsion of a human fetus during the first 12 weeks of gestation
compare MISCARRIAGE : induced expulsion of a human fetus : expulsion of a fetus by a domestic animal often due to infection at any time before completion of pregnancy
compare CONTAGIOUS ABORTION : a misshapen thing or person : MONSTROSITY : something regarded as horrifically or disgustingly bad : arrest of development (as of a part or process) resulting in imperfection : a result of such arrest"
"abound",": to be present in large numbers or in great quantity : to be prevalent : to be copiously supplied"
"about",": reasonably close to : ALMOST : on the verge of : on all sides : AROUND : in rotation : around the outside : in many different directions : HERE AND THERE : in the vicinity : NEAR : in the opposite direction"
"above",": in the sky : OVERHEAD : in or to heaven : in or to a higher place : higher on the same page or on a preceding page : UPSTAIRS : above zero : in or to a higher rank or number : in addition : BESIDES : UPSTAGE"
"abrasive",": causing damage, wear, or removal of surface material by grinding or rubbing : tending to abrade : causing irritation"
"abridged",": shortened or condensed especially by the omission of words or passages"
"abroad",": beyond the boundaries of one's country : in or to a foreign country : over a wide area : WIDELY : away from one's home : in wide circulation : ABOUT : wide of the mark : ASTRAY"
"abrupt",": characterized by or involving action or change without preparation or warning : sudden and unexpected : rudely or unceremoniously curt : lacking smoothness or continuity : giving the impression of being cut or broken off : involving a sudden steep rise or drop"
"abruptly",": in an abrupt manner : in a sudden and unexpected way"
"abs","absolute abstract"
"absence",": a state or condition in which something expected, wanted, or looked for is not present or does not exist : a state or condition in which something is absent : a failure to be present at a usual or expected place : the state of being absent : the period of time that one is absent : inattention to present surroundings or occurrences"
