"colin",": the bobwhite or any of several related New World game birds"
"coliseum",": COLOSSEUM sense 1 : a large sports stadium or building designed like the Colosseum for public entertainments"
"collaborate",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaborated",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaborating",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaboration",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaborations",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaborative",": to work jointly with others or together especially in an intellectual endeavor : to cooperate with or willingly assist an enemy of one's country and especially an occupying force : to cooperate with an agency or instrumentality with which one is not immediately connected"
"collaborator",": a person who collaborates with another: such as : someone who works with another person or group : someone who assists an enemy (such as an invader or part of an occupying force)"
"collaborators",": a person who collaborates with another: such as : someone who works with another person or group : someone who assists an enemy (such as an invader or part of an occupying force)"
"collage",": an artistic composition made of various materials (such as paper, cloth, or wood) glued on a surface : a creative work that resembles such a composition in incorporating various materials or elements : the art of making collages : HODGEPODGE : a work (such as a film) having disparate scenes in rapid succession without transitions"
"collagen",": any of a group of fibrous proteins that occur in vertebrates as the chief constituent of connective tissue fibrils and in bones and yield gelatin and glue upon boiling with water"
"collapse",": to fall or shrink together abruptly and completely : fall into a jumbled or flattened mass through the force of external pressure : to break down completely : DISINTEGRATE : to cave or fall in or give way : to suddenly lose force, significance, effectiveness, or worth : to break down in vital energy, stamina, or self-control through exhaustion or disease : to fall helpless or unconscious : to fold down into a more compact shape"
"collapsed",": to fall or shrink together abruptly and completely : fall into a jumbled or flattened mass through the force of external pressure : to break down completely : DISINTEGRATE : to cave or fall in or give way : to suddenly lose force, significance, effectiveness, or worth : to break down in vital energy, stamina, or self-control through exhaustion or disease : to fall helpless or unconscious : to fold down into a more compact shape"
