"fanning",": any of various devices for winnowing grain : an instrument for producing a current of air: such as : a device that is held in the hand and moved back and forth to cool a person and that is usually shaped like a segment of a circle and composed of material (such as feathers or paper) mounted on thin rods or slats moving about a pivot so that the device may be closed compactly when not in use : a device that consists of a series of vanes radiating from a hub rotated on its axle by a motor : an airplane propeller : something resembling an open fan (such as the leaf of certain palms) : a gently sloping fan-shaped body of detritus : ALLUVIAL FAN"
"fanny",": VULVA : BUTTOCKS"
"fans",": any of various devices for winnowing grain : an instrument for producing a current of air: such as : a device that is held in the hand and moved back and forth to cool a person and that is usually shaped like a segment of a circle and composed of material (such as feathers or paper) mounted on thin rods or slats moving about a pivot so that the device may be closed compactly when not in use : a device that consists of a series of vanes radiating from a hub rotated on its axle by a motor : an airplane propeller : something resembling an open fan (such as the leaf of certain palms) : a gently sloping fan-shaped body of detritus : ALLUVIAL FAN"
"fantasies",": the power or process of creating especially unrealistic or improbable mental images in response to psychological need : a mental image or a series of mental images (such as a daydream) so created : a creation of the imaginative faculty whether expressed or merely conceived: such as : a chimerical or fantastic notion : imaginative fiction featuring especially strange settings and grotesque characters : FANTASIA sense 1 : a fanciful design or invention : FANCY : the free play of creative imagination : CAPRICE : a coin usually not intended for circulation as currency and often issued by a dubious authority (such as a government-in-exile) : HALLUCINATION"
"fantastic",": based on fantasy (see FANTASY entry 1 sense 2) : not real : conceived or seemingly conceived by unrestrained fancy : so extreme as to challenge belief : UNBELIEVABLE : exceedingly large or great : marked by extravagant fantasy or extreme individuality : ECCENTRIC : EXCELLENT, SUPERLATIVE"
"fantastically",": in a fantastic manner : to a fantastic degree : EXTREMELY"
"fantasy",": the power or process of creating especially unrealistic or improbable mental images in response to psychological need : a mental image or a series of mental images (such as a daydream) so created : a creation of the imaginative faculty whether expressed or merely conceived: such as : a chimerical or fantastic notion : imaginative fiction featuring especially strange settings and grotesque characters : FANTASIA sense 1 : a fanciful design or invention : FANCY : the free play of creative imagination : CAPRICE : a coin usually not intended for circulation as currency and often issued by a dubious authority (such as a government-in-exile) : HALLUCINATION"
"far",": at or to a considerable distance in space : to a great extent : MUCH : by a broad interval : WIDELY : to or at a definite distance, point, or degree : to an advanced point or extent : at a considerable distance in time"
"farce",": a light dramatic composition marked by broadly satirical comedy and improbable plot : the broad humor characteristic of farce : an empty or patently ridiculous act, proceeding, or situation : a savory stuffing : FORCEMEAT"
"fare",": GET ALONG, SUCCEED : GO, TRAVEL : EAT, DINE"
"fared",": GET ALONG, SUCCEED : GO, TRAVEL : EAT, DINE"
"fares",": GET ALONG, SUCCEED : GO, TRAVEL : EAT, DINE"
"farewell",": get along well"
"farley","James Aloysius 1888–1976 American politician"
"farm",": a sum or due fixed in amount and payable at fixed intervals : a letting out of revenues or taxes for a fixed sum to one authorized to collect and retain them : a district or division of a country leased out for the collection of government revenues : a tract of land devoted to agricultural purposes : a plot of land devoted to the raising of animals and especially domestic livestock : a tract of water reserved for the artificial cultivation of some aquatic life form : a minor-league team (as in baseball) associated with a major-league team as a subsidiary : an area containing a number of similar structures or objects (such as radio antennas or storage tanks)"
"farmed",": grown, bred, or raised on a farm : used for farming : managed and cultivated as farmland"
"farmer",": a person who pays a fixed sum for some privilege or source of income : a person who cultivates land or crops or raises animals (such as livestock or fish) : YOKEL, BUMPKIN"
"farmers",": a person who pays a fixed sum for some privilege or source of income : a person who cultivates land or crops or raises animals (such as livestock or fish) : YOKEL, BUMPKIN"
"farmhouse",": a dwelling on a farm"
"farming",": the practice of agriculture or aquaculture"
"farmland",": land used or suitable for farming"
"farms",": a sum or due fixed in amount and payable at fixed intervals : a letting out of revenues or taxes for a fixed sum to one authorized to collect and retain them : a district or division of a country leased out for the collection of government revenues : a tract of land devoted to agricultural purposes : a plot of land devoted to the raising of animals and especially domestic livestock : a tract of water reserved for the artificial cultivation of some aquatic life form : a minor-league team (as in baseball) associated with a major-league team as a subsidiary : an area containing a number of similar structures or objects (such as radio antennas or storage tanks)"
"fart",": to expel intestinal gas from the anus"
"farther",": at or to a greater distance or more advanced point : to a greater degree or extent"
"farthest",": most distant especially in space or time"
"farts",": to expel intestinal gas from the anus"
"fas","fetal alcohol syndrome firsts and seconds free alongside ship"
"fascinated",": to command the interest of : ALLURE : to transfix (see TRANSFIX sense 1) and hold spellbound by an irresistible power : BEWITCH"
"fascinating",": extremely interesting or charming : CAPTIVATING"
"fascination",": the quality or power of fascinating : something fascinating : the state of being fascinated : the state of feeling an intense interest in something"
"fascism",": a populist political philosophy, movement, or regime (such as that of the Fascisti) that exalts nation and often race above the individual, that is associated with a centralized autocratic government headed by a dictatorial leader, and that is characterized by severe economic and social regimentation and by forcible suppression of opposition : a philosophy or system with some combination of fascist values and governing structures : a tendency toward or actual exercise of strong autocratic or dictatorial control"
"fascist",": a populist political philosophy, movement, or regime (such as that of the Fascisti) that exalts nation and often race above the individual, that is associated with a centralized autocratic government headed by a dictatorial leader, and that is characterized by severe economic and social regimentation and by forcible suppression of opposition : a philosophy or system with some combination of fascist values and governing structures : a tendency toward or actual exercise of strong autocratic or dictatorial control"
"fascists",": a populist political philosophy, movement, or regime (such as that of the Fascisti) that exalts nation and often race above the individual, that is associated with a centralized autocratic government headed by a dictatorial leader, and that is characterized by severe economic and social regimentation and by forcible suppression of opposition : a philosophy or system with some combination of fascist values and governing structures : a tendency toward or actual exercise of strong autocratic or dictatorial control"
