"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"postal",": of or relating to the mails or the post office : conducted by mail : insanely or murderously violent"
"postcard",": POSTAL CARD sense 1 : a card on which a message may be written for mailing without an envelope and to which the sender must affix a stamp"
"postcards",": POSTAL CARD sense 1 : a card on which a message may be written for mailing without an envelope and to which the sender must affix a stamp"
"postdoctoral",": being beyond the doctoral level: : of or relating to advanced academic or professional work beyond a doctor's degree : engaged in such work"
"posted",": a piece (as of timber or metal) fixed firmly in an upright position especially as a stay or support : PILLAR, COLUMN : a pole or stake set up to mark or indicate something : a pole that marks the starting or finishing point of a horse race : GOALPOST : a football passing play in which the receiver runs downfield before turning towards the middle of the field : the metal stem of a pierced earring : a metallic fitting attached to an electrical device (such as a storage battery) for convenience in making connections"
"poster",": a usually large printed sheet that often contains pictures and is posted in a public place (as to promote something) : a usually large printed sheet that is put on a wall as decoration : a person who posts something online (see POST entry 2 sense 3)"
"posterior",": later in time : SUBSEQUENT : situated behind: such as : CAUDAL : DORSAL : ADAXIAL, SUPERIOR"
"posters",": a usually large printed sheet that often contains pictures and is posted in a public place (as to promote something) : a usually large printed sheet that is put on a wall as decoration : a person who posts something online (see POST entry 2 sense 3)"
"postgraduate",": of, relating to, or engaged in formal studies after graduation : GRADUATE"
"posting",": the act of transferring an entry or item from a book of original entry to the proper account in a ledger : the record in a ledger account resulting from the transfer of an entry or item from a book of original entry"
"postings",": the act of transferring an entry or item from a book of original entry to the proper account in a ledger : the record in a ledger account resulting from the transfer of an entry or item from a book of original entry"
"postman",": MAILMAN"
"postmaster",": one who has charge of a post office : one who has charge of a station for the accommodation of travelers or who supplies post-horses"
"postmodern",": of, relating to, or being an era after a modern one : of, relating to, or being any of various movements in reaction to modernism that are typically characterized by a return to traditional materials and forms (as in architecture) or by ironic self-reference and absurdity (as in literature) : of, relating to, or being a theory that involves a radical reappraisal of modern assumptions about culture, identity, history, or language"
"postpone",": to put off to a later time : DEFER : to place later (as in a sentence) than the normal position in English : to place later in order of precedence, preference, or importance"
"postponed",": to put off to a later time : DEFER : to place later (as in a sentence) than the normal position in English : to place later in order of precedence, preference, or importance"
