"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"spectacularly",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"spectator",": one who looks on or watches : a shoe having contrasting colors with a perforated design at the toe and sometimes heel"
"spectators",": one who looks on or watches : a shoe having contrasting colors with a perforated design at the toe and sometimes heel"
"specter",": a visible disembodied spirit : GHOST : something that haunts or perturbs the mind : PHANTASM"
"spectra",": a continuum of color formed when a beam of white light is dispersed (as by passage through a prism) so that its component wavelengths are arranged in order : any of various continua that resemble a color spectrum in consisting of an ordered arrangement by a particular characteristic (such as frequency or energy): such as : ELECTROMAGNETIC SPECTRUM : RADIO SPECTRUM : the range of frequencies of sound waves : MASS SPECTRUM : the representation (such as a plot) of a spectrum : a continuous sequence or range : kinds of organisms associated with a particular situation (such as an environment) : a range of effectiveness against pathogenic organisms"
"spectral",": of, relating to, or suggesting a specter : GHOSTLY : of, relating to, or made by a spectrum : relating to or derived from the electromagnetic spectrum of visible light"
"spectre",": a visible disembodied spirit : GHOST : something that haunts or perturbs the mind : PHANTASM"
"spectroscopy",": the process or technique of using a spectroscope or spectrometer : the production and investigation of spectra"
"spectrum",": a continuum of color formed when a beam of white light is dispersed (as by passage through a prism) so that its component wavelengths are arranged in order : any of various continua that resemble a color spectrum in consisting of an ordered arrangement by a particular characteristic (such as frequency or energy): such as : ELECTROMAGNETIC SPECTRUM : RADIO SPECTRUM : the range of frequencies of sound waves : MASS SPECTRUM : the representation (such as a plot) of a spectrum : a continuous sequence or range : kinds of organisms associated with a particular situation (such as an environment) : a range of effectiveness against pathogenic organisms"
"speculate",": to meditate on or ponder a subject : REFLECT : to review something idly or casually and often inconclusively : to assume a business risk in hope of gain : to make a relatively risky investment in something (such as stocks or real estate) in the hope of making a large short-term profit from market fluctuations"
"speculated",": to meditate on or ponder a subject : REFLECT : to review something idly or casually and often inconclusively : to assume a business risk in hope of gain : to make a relatively risky investment in something (such as stocks or real estate) in the hope of making a large short-term profit from market fluctuations"
"speculating",": to meditate on or ponder a subject : REFLECT : to review something idly or casually and often inconclusively : to assume a business risk in hope of gain : to make a relatively risky investment in something (such as stocks or real estate) in the hope of making a large short-term profit from market fluctuations"
"speculation",": an act or instance of speculating: such as : assumption of unusual business risk in hopes of obtaining commensurate gain : a transaction involving such speculation"
"speculative",": involving, based on, or constituting intellectual speculation : theoretical rather than demonstrable : marked by questioning curiosity : of, relating to, or being a financial speculation"
"sped","special education"
"speech",": the communication or expression of thoughts in spoken words : exchange of spoken words : CONVERSATION : something that is spoken : UTTERANCE : a usually public discourse : ADDRESS : LANGUAGE, DIALECT : an individual manner or style of speaking : the power of expressing or communicating thoughts by speaking"
"speeches",": the communication or expression of thoughts in spoken words : exchange of spoken words : CONVERSATION : something that is spoken : UTTERANCE : a usually public discourse : ADDRESS : LANGUAGE, DIALECT : an individual manner or style of speaking : the power of expressing or communicating thoughts by speaking"
"speechless",": unable to speak : DUMB : not speaking : SILENT : not capable of being expressed in words"
"speed",": rate of motion: such as : VELOCITY sense 1 : the magnitude of a velocity irrespective of direction : the act or state of moving swiftly : SWIFTNESS : IMPETUS : swiftness or rate of performance or action : VELOCITY sense 3a : the sensitivity of a photographic film, plate, or paper expressed numerically : the time during which a camera shutter is open : the light-gathering power of a lens or optical system : a transmission gear in automotive vehicles or bicycles : someone or something that appeals to one's taste : METHAMPHETAMINE : a related stimulant drug and especially an amphetamine : prosperity in an undertaking : SUCCESS"
